cell_id,dataset,donor_id,condition,cell_type,INS,IAPP,PDX1,MAFA,NKX6-1,SLC2A2,GABRA2,PPP1R1A,ADCYAP1,ENTPD3,HSPA5,XBP1,DDIT3,ATF4,HERPUD1,IL1R2,HLA-DRA,HLA-DPA1,GBP2,TNFRSF10A,NDUFA1,NDUFB5,SDHA,UQCRC1,COX4I1,ATP5F1A,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
ND_donor_02_cell_089,demo,ND_donor_02,ND,beta,116,146,120,128,139,134,134,141,132,125,0,0,0,0,0,0,0,1,0,0,12,10,10,11,8,6,1,4,0,0,2,2,3,1,0,3,0,2,3,4,2,5,2,1,2,1,3,1,1,2,1,3,2,1,4,2,1,0,2,2,3,4,2,0,3,1,2,2,3,0,0,3,3,5,5,1,1,1,4,2,1,5,4,1,2,0,0,4,2,0,0,1,3,2,0,0,3,0,0,2,1,3,0,1,0,6
ND_donor_02_cell_090,demo,ND_donor_02,ND,beta,22,27,40,41,25,35,32,20,27,33,0,1,3,1,0,3,3,0,2,1,6,9,9,8,5,7,0,1,1,0,2,2,3,2,1,5,2,1,1,6,0,1,2,2,1,1,4,0,3,3,3,3,2,6,1,3,1,1,0,1,1,0,1,0,0,1,1,3,1,1,2,3,3,3,3,0,1,2,2,3,2,1,3,2,3,2,2,1,5,0,1,3,2,2,1,1,0,2,0,2,2,1,1,2,4,0
ND_donor_02_cell_091,demo,ND_donor_02,ND,beta,28,28,31,29,25,23,19,25,38,35,0,2,2,1,1,3,0,1,1,0,3,9,5,8,6,1,2,2,0,3,1,2,2,5,2,2,0,0,1,2,1,0,1,1,2,6,1,1,3,0,1,0,2,4,1,2,0,2,0,4,3,2,2,2,0,1,1,2,0,0,3,3,1,0,3,0,0,0,2,2,3,2,1,0,3,1,2,0,0,1,1,1,3,5,1,0,1,0,0,3,2,2,0,2,3,1
ND_donor_02_cell_092,demo,ND_donor_02,ND,beta,21,12,15,20,14,19,25,21,16,17,2,3,0,2,0,2,4,0,2,3,2,4,5,3,3,8,2,2,0,0,4,6,3,0,1,3,5,2,1,0,1,3,0,0,2,0,3,1,3,2,5,1,3,1,3,3,2,0,3,6,3,1,5,4,2,1,4,0,2,3,5,0,5,4,1,0,2,1,0,2,0,1,1,1,0,6,5,0,3,2,0,1,5,0,0,1,7,1,2,1,1,2,3,2,4,4
ND_donor_02_cell_093,demo,ND_donor_02,ND,beta,41,47,54,43,37,35,51,39,42,46,1,0,2,0,1,1,2,0,1,0,6,4,2,13,5,7,2,1,1,1,1,1,0,1,1,5,2,3,1,4,0,2,2,1,1,3,0,3,1,1,1,3,1,2,1,1,6,1,2,0,1,1,0,1,1,3,0,1,1,2,4,0,1,5,3,3,4,1,1,0,2,4,0,3,2,1,0,4,0,1,0,2,0,2,5,5,1,1,0,2,2,3,0,0,0,5
ND_donor_02_cell_094,demo,ND_donor_02,ND,beta,17,16,26,22,22,17,30,15,18,23,2,4,1,3,4,0,4,0,5,3,6,2,5,9,4,4,5,2,5,2,2,1,2,2,2,2,2,0,2,3,0,0,3,3,1,0,0,2,2,1,7,1,4,2,2,0,0,3,5,1,2,1,1,5,1,1,2,2,1,2,1,3,1,2,2,0,2,1,1,2,3,2,0,1,2,2,0,0,1,1,2,2,0,2,0,4,1,2,1,5,4,1,4,3,2,4
ND_donor_02_cell_095,demo,ND_donor_02,ND,beta,17,8,24,10,9,9,14,13,16,13,4,2,2,8,7,9,5,5,6,6,5,1,4,3,9,7,2,4,0,1,2,0,1,1,0,3,3,0,0,1,0,2,1,1,0,2,1,0,0,2,1,6,0,0,0,2,6,1,1,0,1,7,0,3,0,3,2,2,0,0,3,1,0,1,1,2,4,3,4,1,5,4,1,0,0,0,7,4,3,2,3,0,1,3,0,2,2,1,2,3,1,2,1,1,2,1
ND_donor_02_cell_096,demo,ND_donor_02,ND,beta,28,34,32,34,46,21,32,49,35,38,1,3,1,3,0,1,2,1,2,3,6,4,11,8,8,5,0,1,1,0,2,1,2,0,3,0,3,3,0,2,1,4,2,3,1,2,1,3,4,1,0,2,2,3,2,3,2,5,1,0,3,2,1,2,4,2,2,0,5,1,1,2,1,0,1,2,2,1,1,0,1,1,3,0,2,2,1,2,1,1,1,2,0,1,1,0,2,3,1,0,2,2,1,2,1,2
ND_donor_02_cell_097,demo,ND_donor_02,ND,beta,26,28,26,16,17,20,26,20,19,30,4,2,2,3,1,2,2,2,1,0,6,7,2,8,6,7,1,0,2,2,1,0,1,2,3,2,1,2,1,4,1,4,2,4,5,2,3,0,2,2,3,2,2,1,3,4,2,2,1,2,0,2,4,0,1,3,3,2,2,2,1,3,0,0,1,0,1,1,3,1,3,4,2,3,1,2,1,2,0,0,2,4,1,2,2,5,1,3,3,1,0,5,2,2,7,2
ND_donor_02_cell_098,demo,ND_donor_02,ND,beta,10,15,7,13,13,14,9,13,10,9,7,4,10,6,9,1,5,4,9,4,5,8,11,5,5,3,0,2,3,3,1,2,3,3,3,2,3,1,1,3,2,0,1,0,3,2,2,1,2,0,1,3,0,2,3,2,0,2,1,0,1,3,2,3,1,3,4,3,1,1,2,3,3,1,4,1,1,2,2,0,2,2,0,1,2,0,0,0,4,2,5,3,1,1,0,0,1,6,0,2,1,0,3,1,3,0
ND_donor_02_cell_099,demo,ND_donor_02,ND,beta,47,59,54,66,63,53,65,66,51,54,1,0,2,0,0,0,2,2,0,0,5,9,12,10,7,12,2,2,2,2,2,5,1,1,0,0,4,4,4,7,2,0,0,1,2,2,3,2,2,2,3,0,0,3,0,2,0,0,0,0,2,0,2,3,3,1,3,3,1,3,1,1,1,4,0,4,1,5,2,1,1,1,5,1,1,0,4,2,1,0,0,0,1,0,1,4,1,2,5,3,0,1,0,1,3,1
ND_donor_02_cell_100,demo,ND_donor_02,ND,beta,50,34,44,52,38,39,50,37,46,37,1,7,2,1,1,4,3,0,2,1,9,10,13,11,7,3,1,1,5,2,0,3,0,2,1,1,1,0,6,1,1,0,1,5,1,4,1,6,2,2,0,0,0,4,7,0,4,1,3,1,1,1,0,3,0,1,2,1,0,4,1,1,3,1,4,2,2,2,3,2,1,2,2,0,1,3,0,1,4,0,1,3,1,1,2,0,1,0,4,4,2,5,0,1,1,1
ND_donor_02_cell_101,demo,ND_donor_02,ND,beta,59,56,51,62,54,57,50,58,46,54,1,2,1,1,1,3,0,1,0,0,6,5,12,7,15,12,1,4,4,1,5,0,3,0,1,0,3,2,3,2,2,2,2,2,1,1,1,3,3,1,2,2,2,0,4,0,3,0,1,1,3,1,0,1,0,2,3,0,1,1,0,0,3,3,6,0,2,2,7,1,3,1,0,3,2,1,3,2,3,3,6,3,4,3,0,4,1,2,4,3,4,4,3,1,2,1
ND_donor_02_cell_102,demo,ND_donor_02,ND,beta,34,36,33,32,37,35,32,37,27,38,1,4,0,2,0,3,3,0,1,0,6,12,11,2,9,14,1,2,3,1,1,1,1,2,1,3,1,3,1,2,1,0,0,2,3,1,2,0,2,1,4,4,2,3,3,3,1,2,0,0,3,2,2,2,1,2,1,1,2,5,3,0,1,0,0,1,0,3,3,3,2,8,1,0,0,0,0,1,4,3,2,0,0,1,0,1,0,1,1,0,3,1,2,5,4,1
ND_donor_02_cell_103,demo,ND_donor_02,ND,beta,67,93,103,96,80,80,94,82,120,97,0,0,0,0,1,1,0,0,0,0,9,7,17,6,11,10,4,4,1,0,3,1,2,5,1,1,0,0,1,2,0,1,1,1,4,1,3,1,1,1,1,3,2,0,3,1,0,3,1,0,2,1,2,1,2,4,1,1,1,1,3,4,2,1,1,1,3,2,2,3,2,0,3,8,0,1,1,1,0,1,3,1,0,1,1,1,3,2,1,6,1,1,9,5,0,1
ND_donor_02_cell_104,demo,ND_donor_02,ND,beta,73,79,62,69,70,58,71,75,86,85,1,0,0,0,0,0,0,1,0,0,7,6,9,11,8,7,2,2,5,3,1,1,5,0,1,2,2,0,2,2,1,0,0,2,2,0,4,1,1,4,1,1,3,2,1,0,1,0,1,0,2,2,1,0,1,0,2,7,0,5,1,5,0,5,1,5,0,3,4,5,2,2,2,1,4,2,2,3,1,1,1,1,2,1,2,0,0,5,1,0,1,3,1,2,0,5
ND_donor_02_cell_105,demo,ND_donor_02,ND,beta,25,17,14,28,20,19,17,16,18,14,2,1,4,2,0,0,1,2,1,4,7,5,9,7,3,8,3,4,0,1,0,0,2,2,1,1,3,3,2,0,2,3,0,1,0,0,1,0,0,0,1,5,0,3,1,2,1,1,5,1,3,1,2,1,1,0,1,2,3,3,5,4,2,0,1,6,3,2,0,1,4,4,3,2,0,1,3,1,1,1,0,4,0,4,0,3,4,2,3,1,1,2,5,4,2,1
ND_donor_02_cell_106,demo,ND_donor_02,ND,beta,78,86,77,87,79,70,73,81,78,68,0,1,0,1,1,0,1,0,2,0,6,5,7,7,12,8,3,0,3,4,1,2,0,6,2,2,3,4,3,1,1,3,1,1,1,1,0,2,0,1,2,0,1,3,4,0,1,1,0,3,0,2,3,2,3,1,4,2,2,3,3,2,3,4,4,5,1,3,3,2,0,2,1,2,4,0,4,1,4,0,1,0,6,1,2,0,3,1,2,0,1,1,1,1,0,2
ND_donor_02_cell_107,demo,ND_donor_02,ND,beta,35,36,58,58,39,54,55,55,46,46,0,2,0,1,1,0,1,0,2,0,8,3,7,10,9,5,3,1,2,2,2,1,2,2,0,5,2,1,1,1,0,0,1,2,4,1,2,1,5,1,4,0,1,2,2,1,1,0,0,2,1,1,1,1,0,0,2,3,1,1,1,0,3,3,4,2,3,2,0,1,1,2,2,1,2,6,0,0,2,2,0,2,1,2,3,2,1,0,2,0,1,1,1,1,1,1
ND_donor_02_cell_108,demo,ND_donor_02,ND,beta,23,28,24,21,18,29,20,19,33,26,0,0,4,6,2,5,1,1,2,5,12,12,7,7,4,7,2,4,1,3,1,2,0,2,1,1,1,1,1,2,1,1,5,0,5,6,0,5,2,6,4,1,4,0,5,3,0,1,1,2,0,2,1,3,4,0,1,2,3,0,0,0,1,3,1,0,1,1,1,0,1,2,1,0,2,1,1,0,3,2,2,1,5,2,1,4,1,3,2,0,2,1,2,4,1,3
ND_donor_02_cell_109,demo,ND_donor_02,ND,beta,26,17,18,20,15,27,15,15,28,22,3,2,1,6,2,3,3,6,4,6,6,5,6,0,6,3,3,2,0,1,1,1,2,3,2,1,1,1,0,3,1,1,4,2,0,0,1,1,2,0,2,1,0,1,2,1,0,1,0,0,2,6,1,1,2,1,2,0,4,1,1,0,1,5,1,5,3,0,1,0,5,0,2,1,0,7,0,2,2,1,0,1,2,1,3,0,2,4,3,1,1,1,1,2,2,0
ND_donor_02_cell_110,demo,ND_donor_02,ND,beta,25,21,25,39,21,25,20,22,33,19,2,0,2,1,1,0,2,1,2,4,12,2,6,5,7,8,1,0,1,1,3,3,3,1,1,1,2,1,1,3,2,4,1,3,0,1,1,6,1,1,5,2,1,1,4,2,2,1,0,2,0,5,5,2,3,1,1,1,2,0,0,4,1,1,0,0,3,1,4,0,1,0,2,5,2,2,4,5,3,2,1,0,2,1,2,0,2,5,2,0,3,1,0,0,0,2
ND_donor_02_cell_111,demo,ND_donor_02,ND,beta,9,14,12,12,19,13,14,17,9,7,2,5,5,5,7,3,3,0,9,2,5,6,5,4,6,3,2,2,0,1,0,1,0,3,1,1,2,3,3,1,2,1,1,1,3,2,2,2,0,0,1,2,1,0,5,1,1,1,0,4,2,1,0,2,0,0,1,2,0,5,2,1,3,1,4,1,1,1,0,1,2,4,0,2,1,1,2,0,5,5,1,0,2,0,0,2,1,0,3,0,0,1,0,2,4,1
ND_donor_02_cell_112,demo,ND_donor_02,ND,beta,21,18,27,24,21,30,19,19,20,19,1,2,3,3,4,4,4,6,2,3,9,7,10,6,6,3,1,6,2,0,0,3,1,0,6,3,1,1,4,0,2,4,1,0,2,1,1,1,0,1,2,3,0,1,1,3,2,0,1,0,3,0,5,2,0,0,3,3,1,1,0,3,1,0,2,4,4,2,3,2,4,0,0,0,0,3,4,4,3,5,3,3,1,0,0,0,0,2,0,2,1,4,1,8,0,4
ND_donor_02_cell_113,demo,ND_donor_02,ND,beta,16,22,19,20,11,16,11,17,17,13,1,4,2,2,2,3,3,3,5,3,7,10,3,5,4,3,1,2,2,4,1,3,5,1,2,1,0,1,2,2,3,1,2,1,1,1,5,2,1,2,4,0,1,1,3,2,5,2,0,0,0,1,1,4,2,2,0,2,3,3,2,1,1,0,2,0,3,0,1,3,2,2,1,2,1,3,0,1,1,0,2,1,0,0,1,1,1,3,3,1,0,2,1,1,3,0
ND_donor_02_cell_114,demo,ND_donor_02,ND,beta,39,22,17,35,26,21,38,25,21,38,0,0,1,3,3,1,2,0,3,2,6,6,4,5,7,3,3,1,2,0,1,5,2,3,4,0,1,0,3,1,2,4,3,1,1,1,1,2,1,0,4,1,1,1,2,1,2,2,2,3,0,2,2,2,0,2,2,4,0,3,2,1,2,0,1,0,1,1,1,2,4,2,0,3,2,0,2,0,1,4,0,3,4,0,4,1,3,1,0,2,1,1,0,2,2,3
ND_donor_02_cell_115,demo,ND_donor_02,ND,beta,10,9,12,11,12,9,14,12,14,13,5,7,7,1,8,2,3,8,4,6,11,9,9,2,0,8,1,2,0,2,2,3,2,2,3,3,2,1,1,1,2,3,3,2,3,1,1,1,4,4,0,4,2,1,1,0,4,2,5,0,1,1,0,2,2,1,1,1,0,5,0,0,2,3,1,0,2,0,0,3,1,5,1,2,1,0,1,4,1,0,1,4,1,5,1,2,1,1,3,2,1,1,4,1,2,2
ND_donor_02_cell_116,demo,ND_donor_02,ND,beta,32,30,28,28,20,35,27,25,36,29,1,0,1,1,2,1,1,1,4,2,10,6,10,8,5,5,2,1,2,2,0,1,3,1,1,3,1,4,1,1,2,0,2,2,0,0,0,1,1,6,2,5,0,0,3,2,1,3,2,2,3,3,0,1,0,0,3,2,0,3,8,1,1,5,0,1,3,0,4,4,0,1,1,1,3,6,2,2,1,1,1,1,1,2,3,0,2,1,4,3,4,4,4,0,4,4
ND_donor_02_cell_117,demo,ND_donor_02,ND,beta,34,23,33,29,29,38,38,26,36,32,0,0,0,2,1,1,3,2,1,0,8,2,4,7,7,10,0,2,3,2,2,1,0,3,1,1,1,1,0,3,2,1,3,0,3,2,0,2,4,4,2,2,5,2,2,7,0,1,2,2,0,1,0,0,2,2,1,7,1,4,0,4,6,3,2,4,1,0,1,0,1,1,1,2,1,5,0,2,2,1,3,4,4,2,3,3,0,4,5,1,0,0,1,1,5,3
ND_donor_02_cell_118,demo,ND_donor_02,ND,beta,80,75,68,85,67,69,78,96,78,66,0,0,0,1,2,0,0,0,0,1,13,9,10,9,16,16,4,1,4,1,2,1,1,1,1,4,3,3,4,2,0,0,3,1,0,1,1,3,2,0,2,0,3,2,3,3,0,1,1,5,1,3,0,1,2,2,3,3,3,2,0,1,1,4,0,3,1,2,5,2,1,2,1,2,1,2,2,1,2,4,0,1,1,3,2,5,1,4,1,3,0,0,2,4,4,0
ND_donor_02_cell_119,demo,ND_donor_02,ND,beta,58,59,68,62,56,84,73,59,54,68,0,2,0,0,0,1,0,0,1,1,11,5,4,10,5,9,3,2,2,1,1,1,1,1,0,2,4,0,4,0,1,3,1,1,0,1,1,0,0,4,1,5,2,1,2,0,1,2,3,0,3,1,2,0,3,4,1,0,2,3,3,1,1,0,0,1,0,4,2,1,0,2,2,3,3,4,2,2,5,4,0,1,2,1,0,6,4,0,1,1,0,1,1,1,1,0
ND_donor_03_cell_000,demo,ND_donor_03,ND,beta,23,28,20,22,21,34,17,26,22,26,1,0,1,1,1,3,2,1,2,1,9,6,10,13,3,6,2,1,0,1,1,6,2,2,1,2,1,6,2,3,5,0,5,5,3,0,4,3,1,2,1,3,0,2,1,1,3,2,1,3,0,3,1,2,1,5,0,1,1,1,3,1,1,2,0,1,2,0,3,2,5,5,0,6,2,6,1,2,0,2,2,6,1,3,3,0,1,1,3,1,1,1,3,1,0,3
ND_donor_03_cell_001,demo,ND_donor_03,ND,beta,18,26,23,22,35,13,20,28,22,25,3,3,1,4,3,1,7,5,2,2,8,11,2,6,8,6,2,1,0,2,0,3,4,3,1,5,0,1,0,1,0,1,3,2,2,0,1,1,0,1,0,2,0,4,1,5,1,3,0,0,1,4,0,2,2,2,5,1,1,3,4,1,2,1,2,1,2,0,0,2,3,2,0,0,0,1,1,2,1,1,1,2,1,1,2,2,1,4,1,1,2,0,2,0,4,1
ND_donor_03_cell_002,demo,ND_donor_03,ND,beta,21,18,13,13,17,12,17,18,10,15,1,3,5,0,2,2,1,3,6,1,6,5,5,9,6,3,0,2,0,0,3,3,1,2,0,2,2,0,0,5,3,0,1,0,0,2,0,2,0,2,3,1,5,0,5,0,1,0,1,1,2,1,1,2,5,2,5,4,3,3,2,1,0,1,3,3,4,2,3,0,2,1,5,1,1,1,1,0,1,1,2,0,2,3,5,0,2,2,1,2,1,2,1,5,5,2
ND_donor_03_cell_003,demo,ND_donor_03,ND,beta,29,30,29,31,36,25,27,44,46,31,5,2,1,1,0,1,5,3,0,3,9,3,4,6,5,6,5,0,2,2,5,1,1,2,4,3,3,4,5,1,2,1,1,1,1,1,1,4,5,3,4,3,0,1,1,2,3,6,1,1,3,5,0,1,2,1,4,2,0,1,1,1,1,1,2,0,5,1,2,1,0,2,2,1,3,2,0,4,1,2,1,2,4,2,1,0,0,1,0,2,2,3,5,3,8,2
ND_donor_03_cell_004,demo,ND_donor_03,ND,beta,37,43,29,24,46,35,36,35,48,35,3,1,1,0,1,2,2,0,1,0,7,5,8,6,7,11,3,2,1,2,1,2,1,1,1,0,1,2,5,2,0,0,3,5,0,2,0,2,2,0,2,0,2,4,0,3,1,1,4,3,7,3,2,0,2,2,2,0,1,1,4,1,1,2,2,3,2,0,4,2,2,0,1,0,1,3,0,1,0,2,0,1,3,1,1,2,3,3,2,2,1,2,2,1,2,3
ND_donor_03_cell_005,demo,ND_donor_03,ND,beta,3,9,5,8,6,5,6,7,11,9,8,7,7,4,4,5,9,9,7,10,2,5,4,7,4,6,2,0,1,0,2,0,2,2,1,0,3,0,1,1,2,0,2,3,1,4,1,1,2,4,1,0,1,1,2,1,2,1,5,1,1,1,2,2,0,2,2,0,3,4,0,2,3,0,0,3,1,8,2,2,1,0,2,2,0,1,2,4,3,0,3,1,2,0,1,0,2,1,3,1,3,2,1,3,4,3
ND_donor_03_cell_006,demo,ND_donor_03,ND,beta,23,18,22,19,21,27,11,18,15,15,3,4,2,2,1,1,2,2,3,3,12,7,4,8,6,4,2,0,4,0,1,1,2,4,0,1,3,1,4,3,0,2,1,2,1,0,0,2,0,2,1,0,1,1,1,0,0,1,4,0,3,1,4,1,2,3,0,0,2,2,3,2,2,2,0,0,1,5,1,1,1,2,0,1,3,1,3,2,1,1,3,0,5,0,1,0,7,2,1,3,1,2,5,1,1,3
ND_donor_03_cell_007,demo,ND_donor_03,ND,beta,59,58,63,57,60,69,57,52,74,65,1,1,1,1,0,1,0,1,0,2,10,6,9,9,7,6,0,0,3,2,0,0,3,0,6,3,2,2,1,1,2,1,1,1,3,0,2,1,1,1,1,1,1,0,1,3,2,2,2,1,2,2,2,1,4,4,1,2,1,1,0,3,1,5,2,1,3,1,2,0,4,1,1,1,0,1,1,1,2,1,1,1,3,0,1,6,1,2,1,1,1,0,1,1,3,2
ND_donor_03_cell_008,demo,ND_donor_03,ND,beta,19,21,27,21,26,17,18,20,14,14,3,4,4,7,2,2,6,3,2,4,12,7,3,7,5,9,3,3,3,1,2,1,2,1,2,1,1,1,1,5,4,4,1,1,3,1,5,7,2,1,3,1,0,5,2,4,0,0,0,2,4,2,3,1,1,0,2,2,3,1,1,0,2,2,2,5,1,3,1,0,2,1,2,2,1,0,4,2,3,1,2,1,1,3,2,1,3,1,1,2,3,2,0,0,2,3
ND_donor_03_cell_009,demo,ND_donor_03,ND,beta,16,8,20,14,19,15,11,15,16,18,3,4,4,8,5,2,2,7,4,4,3,5,5,7,4,2,0,0,1,1,1,3,0,0,3,0,3,2,3,1,0,0,1,1,4,1,1,3,0,3,1,4,1,1,9,2,2,0,3,0,3,0,0,3,0,2,1,0,1,5,2,1,3,0,3,0,3,1,1,3,2,0,4,0,1,0,1,0,4,2,4,0,0,1,1,2,1,0,2,1,1,3,2,2,2,1
ND_donor_03_cell_010,demo,ND_donor_03,ND,beta,47,37,42,46,52,46,52,38,42,55,2,1,2,1,2,1,2,1,0,1,6,8,9,16,5,8,2,2,2,4,2,0,0,0,0,2,1,1,1,0,0,0,2,0,3,0,3,5,0,1,1,1,5,3,5,2,2,1,1,1,2,1,0,3,1,2,0,2,4,4,2,1,2,2,3,4,2,1,1,0,3,1,5,1,1,0,2,0,2,2,6,3,3,0,0,2,6,0,1,2,2,1,0,1,2,2
ND_donor_03_cell_011,demo,ND_donor_03,ND,beta,45,45,49,38,48,39,45,30,54,45,3,0,1,1,1,1,2,3,1,0,4,5,10,4,6,13,2,1,3,0,1,2,1,1,6,2,0,2,0,7,0,0,1,2,3,1,4,2,4,2,1,2,2,1,1,3,4,3,0,1,0,1,2,0,0,0,2,1,0,2,2,2,1,1,1,0,3,3,2,0,1,0,0,1,4,0,2,0,0,4,3,1,1,0,4,0,0,1,0,1,1,0,2,3,0,1
ND_donor_03_cell_012,demo,ND_donor_03,ND,beta,34,37,34,35,35,33,32,34,26,33,2,1,4,3,1,0,0,2,2,0,14,13,6,8,13,6,1,3,3,1,0,0,4,3,2,0,3,3,1,0,4,0,1,1,1,0,0,1,2,1,2,2,5,2,3,2,0,2,1,0,3,2,1,3,4,5,3,1,3,1,3,0,3,1,1,3,1,3,1,1,3,2,1,2,5,3,1,1,1,2,2,1,4,2,1,0,1,1,7,1,4,2,1,1,2,0
ND_donor_03_cell_013,demo,ND_donor_03,ND,beta,29,15,19,19,18,24,21,16,16,17,1,2,3,1,0,2,1,1,0,1,4,5,3,5,4,7,5,0,3,1,2,0,4,0,0,1,3,0,0,2,5,2,1,1,2,2,1,0,2,1,2,0,0,0,2,1,5,2,5,0,5,5,0,1,2,0,3,3,3,1,2,1,0,1,3,3,2,5,1,4,0,0,4,0,3,2,1,2,2,3,1,0,2,2,0,2,1,2,1,1,0,4,2,2,3,0
ND_donor_03_cell_014,demo,ND_donor_03,ND,beta,15,14,18,14,20,12,14,18,15,15,4,0,2,3,3,3,4,3,2,3,6,10,1,8,5,3,1,0,3,2,2,0,6,0,2,2,0,1,2,1,2,5,1,2,3,1,1,4,1,0,1,4,0,0,0,3,2,0,0,0,4,2,4,0,2,2,2,4,0,4,1,2,2,1,2,0,2,3,4,3,2,3,2,2,2,2,3,4,4,4,1,0,0,4,0,2,2,0,4,1,0,5,1,2,2,1
ND_donor_03_cell_015,demo,ND_donor_03,ND,beta,15,25,32,20,28,27,26,29,27,19,1,4,2,4,1,4,3,4,6,4,2,7,4,5,5,5,3,3,0,0,3,3,0,3,2,3,0,2,0,2,1,1,1,0,1,1,1,3,0,0,4,0,1,1,0,0,0,2,1,0,3,4,1,3,1,4,4,2,0,0,4,1,1,1,2,0,3,2,0,2,2,2,2,2,0,1,1,2,2,0,2,4,3,2,1,0,0,0,1,2,0,0,1,1,3,7
ND_donor_03_cell_016,demo,ND_donor_03,ND,beta,42,22,27,33,29,26,35,29,34,38,2,1,2,2,1,2,2,4,1,2,8,10,8,12,5,4,2,2,0,3,2,1,1,3,1,1,2,0,0,2,1,4,1,0,2,1,2,1,1,5,2,0,2,4,1,0,4,3,1,5,2,1,0,0,0,0,2,1,0,2,1,2,0,1,2,4,3,4,2,2,1,1,2,1,1,1,0,2,0,3,3,1,2,2,5,2,2,2,1,2,1,1,7,3,3,0
ND_donor_03_cell_017,demo,ND_donor_03,ND,beta,47,46,44,49,55,44,50,67,54,67,0,1,0,2,1,0,3,0,0,1,8,6,9,11,7,7,0,2,0,1,3,2,1,2,1,3,2,2,1,0,0,1,4,2,8,2,2,0,2,0,3,3,3,4,1,2,2,0,0,3,2,1,2,1,2,1,0,0,0,0,1,1,1,4,6,1,4,1,1,1,3,3,0,0,2,4,0,0,0,1,0,2,2,1,2,1,0,3,0,1,2,1,0,1,0,1
ND_donor_03_cell_018,demo,ND_donor_03,ND,beta,21,14,15,19,22,29,34,22,18,25,0,1,1,2,0,1,3,2,0,1,12,2,11,9,8,6,1,0,2,0,3,5,1,2,2,2,2,2,3,3,1,3,2,1,0,3,0,4,3,4,1,2,2,1,5,0,0,6,1,1,2,3,1,0,3,5,3,4,1,4,4,0,2,3,0,2,1,4,1,1,1,1,3,1,0,2,1,1,5,3,1,0,4,4,2,2,0,4,3,3,3,1,2,6,1,6
ND_donor_03_cell_019,demo,ND_donor_03,ND,beta,110,100,90,99,105,103,95,94,102,104,0,0,0,1,1,0,1,0,0,0,12,10,10,16,11,14,2,1,1,3,3,0,3,0,1,0,1,1,2,0,1,1,0,2,1,0,0,2,1,3,1,2,2,2,3,2,2,3,2,2,1,3,0,3,3,1,1,2,1,2,4,1,4,2,1,0,1,2,1,1,1,2,4,0,3,1,0,4,1,1,0,1,2,1,4,0,2,0,2,2,1,0,2,1,1,0
ND_donor_03_cell_020,demo,ND_donor_03,ND,beta,26,29,33,30,25,31,33,37,40,32,2,3,4,0,1,2,1,2,1,2,7,1,9,5,14,11,5,1,2,2,1,1,1,2,3,0,2,2,1,1,1,0,2,2,1,2,4,2,1,2,0,4,2,2,1,2,2,3,2,3,1,2,0,3,0,1,1,1,1,1,5,4,5,1,2,3,3,0,0,0,0,3,3,4,2,1,1,2,2,0,4,2,4,1,1,1,2,1,1,1,5,2,3,2,0,2
ND_donor_03_cell_021,demo,ND_donor_03,ND,beta,32,36,27,30,29,23,33,29,36,30,1,1,0,2,0,1,2,1,2,1,6,7,7,2,9,4,0,4,5,0,2,0,3,2,0,1,2,5,2,3,2,0,1,2,1,1,5,1,2,0,1,0,3,0,2,1,1,1,1,0,2,0,1,1,0,2,1,0,1,4,0,3,2,0,3,0,1,3,0,2,2,6,0,2,2,2,3,0,1,1,0,0,2,1,2,1,2,4,0,2,0,3,3,2,0,2
ND_donor_03_cell_022,demo,ND_donor_03,ND,beta,45,53,53,55,42,53,61,48,45,42,3,0,1,0,1,1,1,0,0,1,11,6,6,12,3,5,6,1,4,2,2,0,2,1,2,0,1,2,1,1,0,4,1,3,1,1,1,0,2,6,3,0,5,1,2,1,6,2,3,1,1,1,1,0,2,1,0,0,2,1,5,1,0,5,1,3,3,0,2,0,2,1,2,0,1,0,3,2,1,4,2,1,0,4,1,2,0,1,3,0,0,1,1,1,0,1
ND_donor_03_cell_023,demo,ND_donor_03,ND,beta,43,34,38,33,34,31,33,35,43,31,2,1,2,0,1,1,4,1,3,1,12,13,3,7,6,10,3,2,1,2,3,2,1,2,1,2,2,2,2,2,1,1,2,3,3,3,0,0,0,2,1,2,1,1,1,1,0,1,1,3,1,1,1,2,4,1,3,1,4,2,1,0,0,2,1,4,3,2,2,4,2,5,2,1,3,1,2,3,2,1,2,1,0,4,2,3,8,0,0,0,3,3,1,1,0,2
